name	slug	count	level	parent_name	parent_slug	path	name_raw												
Germany	germany-europe	40	2	EUROPE	europe	international-teams/europe/germany-europe	— — Germany												
Ghana	ghana	3	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/ghana	— — Ghana												
Gianluigi Donnarumma	donnarumma-1	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/donnarumma-1	— Gianluigi Donnarumma												
Goalkeeper	aston-villa-goalkeeper-replica-shirt	20	2	Aston Villa	aston-villa-replica-football-shirt	premier-league-replica-football-shirt/aston-villa-replica-football-shirt/aston-villa-goalkeeper-replica-shirt	— — Goalkeeper												
Guatemala	guatemala	3	0			guatemala	Guatemala												
Guglielmo Vicario	vicario-13	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/vicario-13	— Guglielmo Vicario												
Harry Kane’s	kane-9	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/kane-9	— Harry Kane’s												
Hibernian	hibernian	1	1	Other Clubs	other-clubs	other-clubs/hibernian	— Hibernian												
Home	al-nassr-home	10	2	Al Nassr	al-nassr	other-clubs/al-nassr/al-nassr-home	— — Home												
Home	home	1	2	LA Galaxy	la-galaxy	other-clubs/la-galaxy/home	— — Home												
Home Inter Miami Replica Football Shirts & Kit	home-inter-miami	31	2	Inter Miami	inter-miami	other-clubs/inter-miami/home-inter-miami	— — Home Inter Miami Replica Football Shirts & Kit												
Iceland	iceland	1	2	EUROPE	europe	international-teams/europe/iceland	— — Iceland												
Iliman Cheikh Baroy Ndiaye	iliman-cheikh-baroy-ndiaye	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/iliman-cheikh-baroy-ndiaye	— Iliman Cheikh Baroy Ndiaye												
Inter Miami	inter-miami	48	1	Other Clubs	other-clubs	other-clubs/inter-miami	— Inter Miami												
Inter Milan	inter-milan-replica-football-shirt	10	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/inter-milan-replica-football-shirt	— Inter Milan												
International Teams	international-teams	582	0			international-teams	International Teams												
Ipswich Town	ipswich-town	11	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/ipswich-town	— Ipswich Town												
Ireland	ireland-europe	15	2	EUROPE	europe	international-teams/europe/ireland-europe	— — Ireland												
Italy	italy-europe	29	2	EUROPE	europe	international-teams/europe/italy-europe	— — Italy												
Italy	italy	3	1	International Teams	international-teams	international-teams/italy	— Italy												
Ivory Coast	ivory-coast	2	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/ivory-coast	— — Ivory Coast												
Jack Grealish’s	grealish-10-replica-football-shirt	22	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/grealish-10-replica-football-shirt	— Jack Grealish’s												
Jadon Malik Sancho	sancho-25	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/sancho-25	— Jadon Malik Sancho												
Jamal Musiala	musiala-42	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/musiala-42	— Jamal Musiala												
James Daniel Maddison	maddison-10	5	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/maddison-10	— James Daniel Maddison												
James McAtee	james-24	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/james-24	— James McAtee												
James Michael Edward Ward-Prowse	ward-prowse-8	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ward-prowse-8	— James Michael Edward Ward-Prowse												
Japan	japan-asia	24	2	ASIA	asia	international-teams/asia/japan-asia	— — Japan												
Jarrod Bowen	bowen-20	9	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/bowen-20	— Jarrod Bowen												
Jean-Philippe Mateta	jean-philippe-mateta	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/jean-philippe-mateta	— Jean-Philippe Mateta												
Jeremie Agyekum Frimpong	frimpong-30	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/frimpong-30	— Jeremie Agyekum Frimpong												
John McGinn	john-mcginn	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/john-mcginn	— John McGinn												
Jordan Pickford’s	pickford-1	11	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/pickford-1	— Jordan Pickford’s												
Jorge Sánchez	jorge-sanchez	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/jorge-sanchez	— Jorge Sánchez												
Jude Victor William Bellingham	jude-bellingham-5	14	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/jude-bellingham-5	— Jude Victor William Bellingham												
Juventus	juventus-replica-football-shirt	35	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/juventus-replica-football-shirt	— Juventus												
Kai Havertz’s	havertz-29	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/havertz-29	— Kai Havertz’s												
Kelly	kelly-18	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/kelly-18	— Kelly												
Kevin De Bruyne	bruyne-17-replica-football-shirt	19	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/bruyne-17-replica-football-shirt	— Kevin De Bruyne												
Khvicha Kvaratskhelia	kvaratskhelia-77	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/kvaratskhelia-77	— Khvicha Kvaratskhelia												
Kyle Walker	walker-2	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/walker-2	— Kyle Walker												
Kylian Mbappé Lottin	mbappe-7-replica-football-shirts	16	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mbappe-7-replica-football-shirts	— Kylian Mbappé Lottin												
LA Galaxy	la-galaxy-world-cup-2022-replica-shirt	2	0			la-galaxy-world-cup-2022-replica-shirt	LA Galaxy												
LA Galaxy	la-galaxy	1	1	Other Clubs	other-clubs	other-clubs/la-galaxy	— LA Galaxy												
La Liga	la-liga-replica-football-shirt	157	0			la-liga-replica-football-shirt	La Liga												
Lamine Yamal Nasraoui Ebana	lamine-yamal-19	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lamine-yamal-19	— Lamine Yamal Nasraoui Ebana												
Las Palmas	las-palmas	1	1	La Liga	la-liga-replica-football-shirt	la-liga-replica-football-shirt/las-palmas	— Las Palmas												
Lautaro Javier Martínez	lautaro-10	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lautaro-10	— Lautaro Javier Martínez												
Lautaro Martínez	lautaro-martinez	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/lautaro-martinez	— Lautaro Martínez												
Lazio	lazio	9	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/lazio	— Lazio												
Leeds United	leeds-united-replica-football-shirt	35	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/leeds-united-replica-football-shirt	— Leeds United												
